NodeID,U1,U2,U3,UR1,UR2,UR3
145,9.8004192113876343e-03,-3.3827397227287292e-01,-5.9284400939941406e-01,-7.8294134140014648e-01,-1.4716338366270065e-02,-1.2709062099456787e+00
146,-1.2973995879292488e-02,-5.8237154036760330e-02,-1.0579086095094681e-01,3.5604402422904968e-01,-5.4891973733901978e-01,-2.2990996837615967e+00
147,-3.9000794887542725e+00,-7.4450402259826660e+00,-9.9825149774551392e-01,-9.9533021450042725e-01,-5.0032119750976562e+00,5.4669866561889648e+00
148,-6.5548005104064941e+00,-1.4338406562805176e+01,-1.5926077365875244e+00,1.1481122016906738e+01,1.7439710617065430e+01,2.3687362670898438e+00
149,-1.1507623672485352e+01,-2.9300048828125000e+01,-2.1728510856628418e+00,2.8328545093536377e+00,4.1877712249755859e+01,2.6140761375427246e+00
150,-2.8047447204589844e+00,-7.6318287849426270e+00,-1.1731244325637817e+00,4.4746627807617188e+00,1.6564424037933350e+00,-2.6931819915771484e+00
151,-5.7244544029235840e+00,-1.6556781768798828e+01,-1.4535266160964966e+00,6.6635279655456543e+00,6.5603532791137695e+00,-1.5537661314010620e+00
152,-4.6381384134292603e-01,-2.2919178009033203e+00,5.2386913448572159e-02,-1.7999060153961182e+00,-1.0542902946472168e+01,-5.8277206420898438e+00
153,-2.6381742954254150e+00,-6.5318198204040527e+00,7.0396527647972107e-02,-1.0812112808227539e+01,-5.0391807556152344e+00,-2.8210842609405518e-01
154,-4.8201036453247070e+00,-1.3134943962097168e+01,1.5080220699310303e+00,1.5613386154174805e+01,5.5559761047363281e+01,3.5867813110351562e+01
155,-2.8248405084013939e-02,-1.5726046264171600e-01,7.6657718420028687e-01,1.9811451435089111e+00,-3.0750586986541748e+00,1.7875474929809570e+01
156,-4.4766819477081299e-01,-2.1186530590057373e+00,-8.7068688869476318e-01,-1.0815330505371094e+01,-5.5201747894287109e+01,8.5294952392578125e+00
157,-6.3024077415466309e+00,-1.8704421997070312e+01,-2.2771129608154297e+00,5.4510960578918457e+00,-3.3880336761474609e+01,5.0420956611633301e+00
158,-2.8719747439026833e-02,-1.5094912052154541e-01,-4.9262866377830505e-01,-1.2281088829040527e+00,1.3513069152832031e+00,5.7755761146545410e+00
159,2.9430265426635742e+00,2.5396127700805664e+00,-1.2452279090881348e+01,1.7995135784149170e+00,4.7612562179565430e+00,-2.7701408863067627e+00
160,-1.9218182191252708e-02,-3.8200867176055908e-01,7.7273273468017578e-01,1.6500097513198853e-01,2.9135996103286743e-01,-7.0127444267272949e+00
161,1.8241518735885620e+00,-1.9587943553924561e+00,5.8289208412170410e+00,1.2582099914550781e+01,1.1945741653442383e+01,3.0662773132324219e+01
162,1.6767683029174805e+00,-1.3098028898239136e+00,-5.0106410980224609e+00,-2.1695361137390137e+00,1.5427842736244202e-01,1.8968462944030762e+00
163,8.1558513641357422e-01,3.2250566482543945e+00,-8.7333755493164062e+00,-3.7912647247314453e+01,-9.7061538696289062e+01,9.4975784301757812e+01
