NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
110,15.738664945649,8.436975724604,6.790927909125,0.254472410311603,0.744085340065951,0.617722266952667,5.65161417851128,0.185605755795179,0.128606946580086,1,0
111,11.742743298588,8.937443558152,7.187671419627,0.10827333860659,0.717903482871419,0.687671050305354,5.03470965964778,0,0,0,0
112,17.960154516719,6.949436324436,7.483651749409,0.247926996640516,0.571532502457309,0.782229380023341,6.03612660596696,0,0,0,0
113,14.078735295308,7.869931926417,7.779079130012,0.135740717191836,0.635589559832812,0.760000242847183,4.62445538458697,0,0,0,0
114,26.754927826731,3.166576499078,4.81534690522,0.645377596765758,0.594425523043321,0.479735401182286,8.02780689746111,0,0,0,0
115,23.753238189824,4.966908313304,5.917331716631,0.569310988586492,0.695978265218376,0.437606275798567,8.11432192688846,0,0,0,0
116,22.702022566112,3.139816538379,8.074880628006,0.392800647918663,0.415796349001282,0.820256695889697,4.67808231296195,0,0,0,0
117,28.981461361526,0.472839552982,4.324794985698,0.776473219654015,0.440104611088998,0.450995865234183,6.36619110984527,0,0,0,0
118,19.736618042718,4.64323804525,8.467067136115,0.216403808378159,0.435338426651842,0.873870611703889,6.15479471798549,0,0,0,0
119,15.741095726983,4.544609534125,9.354589892608,0.169955058874528,0.39173337697209,0.90424567421083,6.11668588709983,0,0,0,0
120,11.745048555362,4.262047414671,9.616159420263,0.0248203910547805,0.281371037814725,0.959278003118467,4.78223331382434,0,0,0,0
121,19.746486153894,-0.3477912142594,9.49363823917,0.128567509429791,-0.0873498381135338,0.98784634498517,4.9089133234062,0,0,0,0
122,15.745363738602,-0.8507382213017,9.494346204363,0.0276160428535416,-0.425056392499096,0.904745498675051,5.18887098796434,0,0,0,0
123,11.745156109787,-1.3465661604488,9.482670019663,0.0511083823810138,-0.358167480829201,0.932257469225568,3.42112387028556,0,0,0,0
124,25.003364442936,1.2309509837,7.820838234858,0.445577596078839,0.250712737674587,0.85942057750575,5.05330377809874,0,0,0,0
125,26.764024323436,0.667598149663,6.915429218772,0.636217612173077,0.397559807546318,0.661190857003122,6.06047261678361,0,0,0,0
126,29.252571741026,1.660464093804,1.727182331294,0.890589537909108,0.406378293766413,0.20422281293318,4.72169231659886,0,0,0,0
127,29.252861695101,1.660614612171,-1.6581727665484,0.880931597074473,0.419205257998197,-0.219605266199342,4.81286860781822,0,0,0,0
128,26.758847417861,4.572661378894,-1.9626596810126,0.62949551024699,0.74671607020201,-0.214826704766768,6.08082961740731,0,0,0,0
129,23.765602945288,6.88500690367,-2.1643461255316,0.568847309560988,0.776132121330302,-0.272087612074771,8.78468470711841,0.167312758373849,0.115931657863551,1,0
130,19.754085290547,9.177644230308,-2.3610451624641,0.37397689351909,0.912798523694124,-0.164134512688949,6.07934103782324,1.28738658467695,0.892035147369975,1,0
131,25.003364460481,1.230950996427,-7.7517793713904,0.458666385935823,0.303469111445162,-0.83518359946257,4.65986434317574,0,0,0,0
132,26.764023522006,0.667597681567,-6.8463711952152,0.637610572572992,0.39396850438073,-0.661998168652416,6.0960336566186,0,0,0,0
133,22.702022562,3.13981748729,-8.0058212475898,0.402108937315701,0.472501702621385,-0.784251581796766,6.60958471068854,0,0,0,0
134,28.981461376678,0.472839559758,-4.2557360972662,0.77835493807273,0.433591537797167,-0.454050623530554,6.3232068278758,0,0,0,0
135,19.736617708259,4.643237504487,-8.3980087097763,0.243042146249725,0.29832976066034,-0.923000470774892,7.54943471818465,0,0,0,0
136,15.741095514528,4.544608848814,-9.2855312914609,0.0769320120782241,0.230777455225574,-0.969960427892398,7.00541336079512,0,0,0,0
137,11.745048529564,4.262046924625,-9.547100679362,0.0385446288170798,0.295969699047351,-0.954419325472391,5.81442771172644,0,0,0,0
138,14.078733534356,7.869932572826,-7.710020081367,0.158663482562937,0.645977596249616,-0.746685237864369,5.66615700636591,0,0,0,0
139,17.960154525797,6.949436345805,-7.4145928785526,0.251068052202959,0.627338196562238,-0.737164581553571,5.70870559907633,0,0,0,0
140,26.754928112762,3.166576785638,-4.7462872607252,0.663492484334468,0.546557761390623,-0.510932810353129,5.28339407264176,0,0,0,0
141,23.753238483734,4.966908677622,-5.8482721884338,0.516118563461051,0.668007708832551,-0.536085188557926,7.87793357398279,0,0,0,0
142,11.742743325976,8.93744381708,-7.1186123272139,0.116648478792136,0.720557536512132,-0.683512961816415,5.14928838173659,0,0,0,0
143,17.259670249062,-0.7399864756325,-9.4242521356718,0.0505940950108667,-0.138377929399711,-0.98908633910548,4.08075040723159,0,0,0,0
