NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
96,2,-1.96330208246387e-06,0,1.96330208246387e-06
96,3,-1.30826227961317e-06,0,1.30826227961317e-06
97,1,-1.19442441205361e-06,0,1.19442441205361e-06
97,2,1.7626498927982e-07,0,-1.7626498927982e-07
97,3,-1.94804537636574e-06,0,1.94804537636574e-06
98,1,-1.0682385907651e-06,0,1.0682385907651e-06
98,2,-3.64373199705781e-06,0,3.64373199705781e-06
98,3,-4.52397666916848e-06,0,4.52397666916848e-06
99,1,2.12976353721958e-06,-0.0721485228754697,-0.0721506526390069
99,2,3.41562793351735e-06,-0.108243631582884,-0.108247047210818
99,3,4.24197992997255e-06,0.0981460957942667,0.0981418538143367
100,1,-1.16088863909763,-1.08619052802753,0.0746981110700948
100,2,-1.96934064909025,-1.74585421413437,0.22348643495588
100,3,-0.94885320158799,-0.999509494800658,-0.0506562932126682
101,1,-3.15736478412695,-3.12470702925896,0.0326577548679889
101,2,-5.73328784814306,-5.7773669778851,-0.0440791297420446
101,3,-1.87075516111338,-1.86213353062974,0.00862163048364128
102,1,-1.48692911192128e-07,-0.0651690457998727,-0.0651688971069615
102,2,-5.29573540089534e-07,-0.0886145661510742,-0.0886140365775341
102,3,-1.43138400195142e-06,0.0414185955609929,0.0414200269449949
103,1,-2.57918572322773,-2.53191556179477,0.0472701614329609
103,2,-5.15450986778699,-5.06841148816439,0.0860983796226051
103,3,-0.070726480018979,-0.0578681198344195,0.0128583601845595
104,1,-1.25693461535233,-1.12305662833273,0.133877987019598
104,2,-2.74339203645014,-2.56190393135413,0.181488105096005
104,3,0.941513604136862,1.01980723511788,0.0782936309810193
105,1,-2.86261204070329,-2.85304577985156,0.00956626085172552
105,2,-4.98135870784498,-5.02949547394977,-0.048136766104788
105,3,1.21518410674234,1.15504506726361,-0.060139039478722
106,1,-2.13996775633046,-2.10586471878536,0.0341030375451048
106,2,-3.6148561141826,-3.5316353373914,0.0832207767911979
106,3,-0.0680437926179409,-0.0561082047227747,0.0119355878951663
107,1,-1.18224689333238,-1.0878254069754,0.0944214863569799
107,2,-1.94280834846937,-1.72154775005502,0.221260598414351
107,3,0.76747336519386,0.861306643849208,0.0938332786553479
108,1,-1.23542845669589,-1.1581560576859,0.0772723990099946
108,2,-1.84617562006624,-1.64012012644585,0.206055493620391
108,3,-0.563531079952183,-0.521329565594462,0.0422015143577213
109,1,-3.24659970386569,-3.26649751542396,-0.0198978115582702
109,2,-7.64018646771009,-7.64767532199549,-0.00748885428539925
109,3,-2.30571295279149,-2.29927951780205,0.00643343498944393
110,1,-0.5241389442374,-0.441735197584575,0.0824037466528244
110,2,-1.42310761997847,-1.21772727153425,0.205380348444212
110,3,-0.963791657323073,-0.911539898730485,0.0522517585925882
111,1,-8.37358596052218e-07,0,8.37358596052218e-07
111,2,2.50003385826592e-07,0,-2.50003385826592e-07
111,3,-8.48560459676406e-08,0,8.48560459676406e-08
112,1,-1.11129556620848e-06,-0.114836893716603,-0.114835782421037
112,2,-3.96924698664591e-08,-0.272582428354155,-0.272582388661685
112,3,6.36796768649361e-08,-0.259688622147995,-0.259688685827672
113,1,1.6471624749298e-06,-0.0104801587766807,-0.0104818059391556
113,2,-2.87718254528974e-06,-0.0415933531998233,-0.041590476017278
113,3,1.81063958101108e-06,-0.0414729834920089,-0.0414747941315899
114,1,4.26450600957953e-07,0,-4.26450600957953e-07
114,2,-2.02470704066581e-08,0,2.02470704066581e-08
114,3,4.03268527890735e-07,0,-4.03268527890735e-07
115,1,1.70092432298478e-06,-0.198103092261014,-0.198104793185337
115,2,2.62083617915722e-06,-0.243283383126474,-0.243286003962653
115,3,-2.9932154110221e-06,-0.139556675790891,-0.13955368257548
116,1,3.13252565842248e-06,0,-3.13252565842248e-06
116,2,3.55280050308437e-06,0,-3.55280050308437e-06
116,3,-4.00389537311141e-06,0,4.00389537311141e-06
117,1,-7.24102580184488e-07,0,7.24102580184488e-07
117,2,1.89530823767195e-06,0,-1.89530823767195e-06
117,3,1.23039600011948e-07,0,-1.23039600011948e-07
118,1,1.09371916580652e-06,0,-1.09371916580652e-06
118,2,2.15088148311331e-06,0,-2.15088148311331e-06
118,3,-1.65397163003414e-06,0,1.65397163003414e-06
