NodeID,X,Y,Z,U1_Completed,U2_Completed,U3_Completed,UR1_Completed,UR2_Completed,UR3_Completed,U_Magnitude,IsMeasuredNode,IsFixedNode
55,28.449492663278,-1.0535224072735,-5.8683790891648,1.51671367353587,-0.609581909692891,-1.75397248207649,0.265911644047024,-0.434872708725119,-2.9683574317245,2.39758835916365,0,0
56,29.716627269057,-0.9354070463398,-3.5364952600241,1.56103894648031,-0.289408014461497,-0.984717971058761,-3.19327189766167,-0.275555993741403,0.524197692356858,1.86822618378744,0,0
57,30.192489259972,-0.8883863297416,-1.1795539098071,1.57235927592739,-0.147641439020094,-0.407037761827025,-9.78985411037127,-3.15587661346537,-0.483034010636005,1.63088669951778,0,0
58,30.194631195056,-0.8706002466747,1.158335915549,1.26944848476935,-0.184743713805257,0.10389372478898,-0.795751456902587,0.340537891567297,-0.669417398086531,1.28702121246088,0,0
59,29.702732326291,-0.878938134692,3.609757052917,1.36929163305601,-0.28985479492504,0.714495484434496,7.76535979296828,1.49284132642887,0.941114755805526,1.57145765955546,0,0
60,28.429237337565,-0.9832995737268,5.947092336547,1.50517154189535,-0.645891975016381,1.61860966601397,1.81064846768297,0.246781288656094,0.246937809304467,2.3027407723919,0,0
61,12.13266880369,7.165499830721,8.481577914303,-0.108782076232092,1.24340271622501,4.37778848877305,-0.218951396497623,6.07526443065338,26.0357052658179,4.55224295345261,0,0
62,12.243619942528,10.67684835374,4.842202747855,-0.270235783287714,-2.85049157145298,0.256738261786883,-23.0913031858912,-69.8304704165743,-37.8618308850496,2.87475983563131,0,0
63,12.212518550223,11.64363503317,-0.135745028481,-0.467833700575452,-0.959622290299188,-0.585751859199687,-18.6949139025181,-78.0254042497878,-2.64393710698255,1.21772269092313,0,0
64,12.131919288536,10.6596791613,-4.8401141616669,-0.0711436473210838,-0.542048485063955,-1.07451500593936,3.19436254458996,25.4260592967582,-16.1093275304903,1.2055954863482,0,0
65,12.373636072295,7.169680078251,-8.3950244927024,-0.0376430477246984,0.660518573681618,-2.72433974386051,-0.183333167049325,3.97543392666855,-2.95067626227421,2.80352079093385,0,0
66,12.655199310326,2.583044891673,-9.7825068403003,-0.0600369182461958,-0.144299319312458,-1.04762496036843,0.448497985364019,1.08160449869966,-3.13598903526541,1.05921894936482,0,0
67,15.036984756556,1.05116158228,-9.7760058510646,-0.0741549549396738,-0.355580680384169,-0.854101185118916,0.848722898767209,-0.965981349147722,-5.51135842515497,0.928130062020464,0,0
68,22.346387928092,1.030573575768,-8.9387662447648,0.829456757120568,-1.37245561929667,-3.5804077383187,-2.21966463527291,2.48276872739411,-0.230398704793253,3.92313044793114,0,0
69,29.634223044863,1.136970202674,-0.1108557545891,0.524713349988974,-0.929299780137948,-0.310414085077235,-14.537272077389,-7.92633175001423,1.24406442374558,1.11143109783532,0,0
70,22.551872663235,0.41636486513,9.03202352952,1.03992631257703,-1.95524871244987,4.52286356383597,2.42006032524442,-1.63212224523945,13.6838337511826,5.03594470583245,0,0
71,17.466433263982,0.547802923867,9.754169665486,0.0846894869895327,-0.844924467216981,2.99942507998143,3.6699167421318,-5.1384337097332,16.9519419494386,3.11730981375449,0,0
72,14.852455401088,1.038265348671,9.846469979604,-0.00576074015566516,-0.389325778125948,1.84274115321698,1.15954680166115,3.0354487871702,-15.3473603173138,1.88342844445972,0,0
73,14.399497020672,3.493053661137,9.704905553255,0.0217096429750671,-0.284692688129725,3.14658893847292,-0.598629705192813,-0.482275922420946,5.27854834047553,3.15951628940139,0,0
74,16.760233103306,2.738517730954,9.704833491545,0.245987113371047,-0.547903041504731,5.66261277597967,1.24433014685837,-4.14552311099418,-20.0509569324869,5.69437361379836,0,0
75,14.027309536501,5.831845504273,9.02547894163,-0.0908134345049226,0.995788588679803,6.84159148240593,3.09055466043697,-9.6406590528362,-28.0306718801917,6.9142762459538,0,0
76,15.778254630549,6.890227341897,8.175443177154,0.396141494928269,1.71439441928285,10.8589293696145,6.98693836917595,1.5687243523817,7.94500646093816,11.0005646838309,0,0
77,14.338154130974,9.628969571524,5.792663288428,-1.30934153870277,-6.79530651353005,0.088559968253281,16.0046831850029,85.7604547150424,35.8661111018811,6.92086762955148,0,0
